Cluster1,Cluster2,Distance,Nr_instances
257.0,273.0,0.9265489455382646,7.0
76.0,263.0,0.9281938281068813,3.0
85.0,259.0,0.9674449550748422,3.0
224.0,284.0,0.9831660970306607,11.0
181.0,287.0,1.0364327764398715,3.0
237.0,253.0,1.0413856511896253,8.0
232.0,246.0,1.0462116328910838,6.0
272.0,289.0,1.060542813432959,9.0
211.0,233.0,1.078330833137948,6.0
262.0,285.0,1.100478591666441,8.0
245.0,279.0,1.1044646715946929,6.0
57.0,282.0,1.1069981677014817,6.0
3.0,49.0,1.124730285843978,2.0
112.0,281.0,1.1479236793994037,3.0
162.0,179.0,1.165616640569406,2.0
150.0,286.0,1.166493810039944,4.0
235.0,294.0,1.2502562029908109,5.0
84.0,268.0,1.2582440634845535,3.0
277.0,296.0,1.2625112736280746,14.0
182.0,266.0,1.2784597215228024,4.0
251.0,299.0,1.2998213989608312,5.0
292.0,302.0,1.311682325887749,7.0
53.0,247.0,1.3381228741286157,3.0
78.0,303.0,1.347215545943333,9.0
265.0,290.0,1.3605070278924905,5.0
264.0,291.0,1.389616455411132,6.0
123.0,269.0,1.4027318574907954,3.0
295.0,306.0,1.4635092024627314,21.0
51.0,151.0,1.5377070017722851,2.0
288.0,320.0,1.6107291266319412,7.0
260.0,305.0,1.6384090378491414,11.0
300.0,309.0,1.6610598300560468,9.0
274.0,324.0,1.683612301565894,5.0
322.0,326.0,1.7893936315667875,7.0
276.0,325.0,1.8146800580572608,25.0
301.0,317.0,1.8239887184295367,15.0
119.0,293.0,1.8267124814823608,4.0
275.0,298.0,1.83532305539757,12.0
304.0,307.0,1.9921214189562462,14.0
310.0,319.0,2.1627293667557614,9.0
311.0,315.0,2.1979054226721466,6.0
313.0,327.0,2.2440864113693446,11.0
308.0,336.0,2.283709079048562,20.0
283.0,334.0,2.371057047871226,6.0
30.0,144.0,2.486575809422531,2.0
314.0,323.0,2.7238212733385896,11.0
312.0,340.0,2.7241382567751318,22.0
321.0,332.0,2.773899591166261,34.0
316.0,328.0,2.8140346908048746,25.0
330.0,339.0,3.127120033646974,16.0
329.0,331.0,3.24279223437778,16.0
341.0,343.0,3.565244615952426,17.0
158.0,333.0,3.7460516667811112,16.0
318.0,344.0,3.8592329108954426,27.0
335.0,346.0,4.006635689181408,37.0
337.0,348.0,4.736054962509936,25.0
297.0,342.0,5.074603610713988,4.0
347.0,351.0,5.571888051819001,43.0
350.0,352.0,5.773615188890289,53.0
349.0,354.0,6.004431998570156,21.0
345.0,356.0,8.958124310308293,87.0
353.0,357.0,9.853428111399634,46.0
338.0,355.0,10.857217997496411,49.0
358.0,360.0,16.52873610281982,136.0
359.0,361.0,39.80553397966645,182.0
